Restaurant_Name,Rating,Area,Dishes,Amount,Discount
Citrus Cafe,3.3,"Lemon Tree Premier, Mumbai International Airport  | View All(3) Outlets",Multicuisine,₹ 1800 for two approx.,50% Off + 25% Off
Gurukripa,4.5,"Powai, Central Mumbai",Indian,₹ 1400 for two approx.,10% Off + 25% Off
The Earth Plate - Global Cuisine,4.3,"Sahara Star, Mumbai",Multicuisine,₹ 4500 for two approx.,30% Off + 25% Off
Fisherman's Cove - Taste On Palate,4.3,"Chandivali, Central Mumbai","Seafood, Multicuisine",₹ 800 for two approx.,15% Off + 25% Off
Nawab Saheb,4.4,The Westin Mumbai Powai Lake,Awadhi,₹ 5000 for two approx.,25% Off + 25% Off
Malvan Tadka,5.0,"Marol, Central Mumbai",Multicuisine,₹ 1200 for two approx.,10% Off + 25% Off
True Tramm Trunk BKC,4.1,"Bandra Kurla Complex (BKC), Western Suburbs  | View All(2) Outlets","Finger Food, Cocktail Menu",₹ 2600 for two approx.,15% Off + 25% Off
The Barn Grill,5.0,"Andheri East, Western Suburbs",American,₹ 1000 for two approx.,10% Off + 25% Off
Waikiki,4.0,"The Peninsula Grand Hotel, Mumbai","Peruvian, Japanese, Finger Food",₹ 1500 for two approx.,20% Off + 25% Off
Spotlight Skydeck,4.4,"Wagle Estate, Thane West",Multicuisine,₹ 1400 for two approx.,30% Off + 25% Off
Beluga,5.0,"The Lalit, Mumbai","Finger Food, Cocktail Menu",₹ 2500 for two approx.,25% Off + 25% Off
Spice It,3.3,"Vikhroli, Central Mumbai",Multicuisine,₹ 1700 for two approx.,50% Off + 25% Off
Bombay Adda,5.0,"Andheri East, Western Suburbs",Multicuisine,₹ 1500 for two approx.,20% Off + 25% Off
Banana Leaf,4.5,"Malad West, Western Suburbs  | View All(12) Outlets",South Indian,₹ 500 for two approx.,10% Off + 25% Off
House Of Asia,3.7,"Hotel Mirador, Mumbai",Pan Asian,₹ 2500 for two approx.,25% Off + 25% Off
Aromas Cafe & Bistro,4.4,"Linking Road, Bandra West, Western Suburbs  | View All(4) Outlets","Cafe, Continental",₹ 1000 for two approx.,25% Off + 25% Off
Fame Garden Prive,4.4,"Powai, Central Mumbai",European,₹ 2500 for two approx.,20% Off + 25% Off
Qebab Quisine,3.8,Radisson Mumbai Andheri MIDC,"Mughlai, North Indian",₹ 2400 for two approx.,35% Off + 25% Off
Gopalas Veg Kitchen,3.5,"Kanjurmarg West, Central Mumbai","South Indian, North Indian",₹ 800 for two approx.,25% Off + 25% Off
House of Mandarin,4.4,"Powai, Central Mumbai  | View All(2) Outlets",Pan Asian,₹ 1800 for two approx.,Free Cocktail or Mocktail + 25% Off
Eat Around the Corner,4.8,"Bandra West, Western Suburbs",Continental,₹ 2200 for two approx.,15% Off + 25% Off
Thyme & Whisk,4.1,"Mulund West, Central Mumbai  | View All(3) Outlets",Multicuisine,₹ 1300 for two approx.,10% Off + 25% Off
Utse Kitchen,5.0,"Shivajinagar, Central Bengaluru",Asian,₹ 1500 for two approx.,25% Off
Nasi and Mee,4.7,"Richmond Town, Central Bengaluru  | View All(5) Outlets",Asian,₹ 2000 for two approx.,25% Off
Chin Lung Resto Bar,4.5,"Residency Road, Central Bengaluru  | View All(5) Outlets",Multicuisine,₹ 2000 for two approx.,25% Off
Öz By Kebapci,4.5,"UB City, Central Bengaluru",Turkish,₹ 2000 for two approx.,25% Off
The Reservoire Cocktail Bar & Kitchen,4.6,"12th main, East Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
KoMaama Korean Restaurant,4.0,"Brigade Road, Central Bengaluru",Korean,₹ 2000 for two approx.,25% Off
Jollygunj,4.2,"JP Nagar, South Bengaluru  | View All(3) Outlets",Indian,₹ 1800 for two approx.,25% Off
"Atlantis - Brewpub, Cocktails & Kitchen",4.2,"HSR, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
one8 Commune,3.8,"MG Road, Central Bengaluru",Multicuisine,₹ 2800 for two approx.,25% Off
Juliet,3.8,"1MG Road Mall, MG Road","European, Asian",₹ 3000 for two approx.,25% Off
46 Ounces Brewgarden,4.7,"Electronic City, South Bengaluru","Multicuisine, Cocktail Menu",₹ 2000 for two approx.,30% Off + 25% Off
Brau Galie Microbrewery,4.6,"Koramangala 5th Block, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Helen's Place,4.3,"Marathahalli, East Bengaluru",Multicuisine,₹ 2500 for two approx.,25% Off
Maverick & Farmer Coffee,4.5,"Ulsoor, East Bengaluru",Cafe,₹ 2000 for two approx.,25% Off
Chin Lung Brewery - Indiranagar,4.6,"Indiranagar, East Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Daddy,4.1,"12th main, East Bengaluru","Cocktail Menu, Pan Asian",₹ 2000 for two approx.,25% Off
Yuki Cocktail Bar & Kitchen,4.7,"100 Feet Road, East Bengaluru","Cocktail Menu, Pan Asian, Asian",₹ 2000 for two approx.,25% Off
The Founders Brewery,4.7,"New BEL Road, North Bengaluru","North Indian, Chinese",₹ 2000 for two approx.,25% Off
BLR Brewing Co,4.4,"Whitefield, East Bengaluru  | View All(6) Outlets",Multicuisine,₹ 2000 for two approx.,Free Cocktail or Mocktail + 25% Off
William John's Pizza,4.9,"Horamavu, Bengaluru","American, Italian",₹ 2000 for two approx.,25% Off
Yuki - Brewhouse and Kitchen,4.6,"Koramangala, South Bengaluru","Cocktail Menu, Pan Asian",₹ 2000 for two approx.,25% Off
DISTRICT 6,4.4,"Rajajinagar, West Bengaluru","Cocktail Menu, Multicuisine",₹ 2000 for two approx.,25% Off
Maize & Malt,4.6,"Krishnarajapuram Hobli, Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Koreyaki,3.8,"Indiranagar, East Bengaluru",Korean,₹ 2000 for two approx.,25% Off
1 BHK - Bar House Kitchen,4.4,"Koramangala, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
1522 - The Pub,4.4,"Malleshwaram, West Bengaluru  | View All(8) Outlets","European, Finger Food, North Indian, Indian Coastal Cuisine, Chicken, Barbeque",₹ 2500 for two approx.,25% Off
The Scene - Craft Kitchen & Bar,4.0,"JP Nagar, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
The Fisherman's Wharf,4.5,"Sarjapur Road, South Bengaluru  | View All(1) Outlets","Indian Coastal Cuisine, Multicuisine, Seafood",₹ 2000 for two approx.,25% Off
Nusa - Tropical Brewvilla,4.1,"Gunjur Village, Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Chairman's Restobar,4.5,"Chikkabanavara, North Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Oia,4.2,"Hennur, North Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Yuki - Pan Asian Kitchen and Bar,4.5,"JP Nagar, South Bengaluru",Pan Asian,₹ 2000 for two approx.,25% Off
Garden by su,4.4,"Jayanagar, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Byg Brewski - Sarjapur,4.5,"Sarjapur Road, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
MisoSexy,4.3,"12th main, East Bengaluru","Pan Asian, Asian",₹ 2000 for two approx.,25% Off
Toca,3.9,"Koramangala, South Bengaluru  | View All(2) Outlets",Multicuisine,₹ 2000 for two approx.,25% Off
Subz,4.4,"Jayanagar, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Gaia - Global Vegetarian,4.7,"JP Nagar, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Masala Mandi,4.2,"Sarjapur Road, South Bengaluru",Barbeque,₹ 2000 for two approx.,25% Off
Savera Lassi Shop,4.7,"Shivajinagar, Central Bengaluru","Ice Cream, Beverages",₹ 2000 for two approx.,10% Off + 25% Off
My Breakfast,4.0,"Shivajinagar, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Masha Allah Hot And Cool Point,4.0,"Shivajinagar, Central Bengaluru",Fast Food,₹ 2000 for two approx.,10% Off + 25% Off
Tipsy Cafe,4.0,"Shivajinagar, Central Bengaluru",Fast Food,₹ 2000 for two approx.,10% Off + 25% Off
Shahi Restaurant,3.0,"Shivajinagar, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Main Lassi Shop,1.0,"Shivajinagar, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Maggi Baba,5.0,"Shivajinagar, Central Bengaluru",Beverages,₹ 2000 for two approx.,25% Off :Payeazy
Romeo Cafe,4.0,"Shivajinagar, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off :Payeazy
Dindigul Thalappakatti,5.0,"MG Road, Central Bengaluru  | View All(10) Outlets",Multicuisine,₹ 950 for two approx.,25% Off
Trippy Goat Cafe,4.3,"Vasanth Nagar, Central Bengaluru","Coffee and Tea, European",₹ 2000 for two approx.,10% Off + 25% Off
The Biere Club,4.4,"Lavelle Road, Central Bengaluru  | View All(2) Outlets","Cocktail Menu, Multicuisine",₹ 2000 for two approx.,40% Off + 25% Off
Hatti Kaapi,5.0,"Infantry Road, Central Bengaluru  | View All(4) Outlets",Multicuisine,₹ 400 for two approx.,10% Off + 25% Off
Flo,3.4,"Church Street, Central Bengaluru","Multicuisine, Cocktail Menu",₹ 2000 for two approx.,45% Off + 25% Off
Juliana's,5.0,"Infantry Road, Central Bengaluru","European, Pan Asian, Continental",₹ 1400 for two approx.,25% Off :Payeazy
SkyDeck By Sherlock's,4.1,"MG Road, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
Vapour Pub & Brewery,3.9,"100 Feet Road, East Bengaluru",Multicuisine,₹ 2000 for two approx.,50% Off + 25% Off
Lumara Bar & Kitchen,4.3,"Old Madras Road, East Bengaluru",Multicuisine,₹ 2500 for two approx.,20% Off + 25% Off
Burnout Cafe,3.9,"Infantry Road, Central Bengaluru  | View All(1) Outlets","Chinese, Multicuisine, Continental",₹ 2000 for two approx.,20% Off + 25% Off
Punjab Grill,4.2,"Ashok Nagar, Bengaluru  | View All(8) Outlets",North Indian,₹ 2000 for two approx.,25% Off + 25% Off
Rolls On Wheels,4.0,"Cunningham Road, Central Bengaluru  | View All(19) Outlets","Chinese, Fast Food",₹ 500 for two approx.,15% Off + 25% Off
Arbor Brewing Company,4.4,"Brigade Road, Central Bengaluru",Multicuisine,₹ 1800 for two approx.,25% Off :Payeazy
Bazaar,4.0,Zone By The Park Infantry Bengaluru,Multicuisine,₹ 2500 for two approx.,10% Off + 25% Off
Café Azzure,4.2,"MG Road, Central Bengaluru  | View All(4) Outlets",European,₹ 2000 for two approx.,20% Off + 25% Off
Nothing Before Coffee,4.0,"Richmond Town, Central Bengaluru",Cafe,₹ 2000 for two approx.,20% Off + 25% Off
Raahi Neo Kitchen & Bar,4.5,"Ashok Nagar, Bengaluru",Indian,₹ 2500 for two approx.,50% Off + 25% Off
By Chance,4.4,"Brigade Road, Central Bengaluru",Multicuisine,₹ 1500 for two approx.,50% Off + 25% Off
Tiamo,4.4,Conrad Bengaluru,Multicuisine,₹ 2250 for two approx.,20% Off + 25% Off
Aqua,3.7,"The Park, Bengaluru",Multicuisine,₹ 2500 for two approx.,30% Off + 25% Off
Kari Theory,3.9,Radisson Bengaluru City Center,"Cocktail Menu, Multicuisine",₹ 2500 for two approx.,50% Off + 25% Off
ShakesBierre,4.4,"MG Road, Central Bengaluru","Cocktail Menu, Multicuisine",₹ 2000 for two approx.,30% Off + 25% Off
Levista Gourmet Studio,5.0,"Church Street, Central Bengaluru",American,₹ 2000 for two approx.,30% Off + 25% Off
Barista Coffee,4.4,"Sadashiv Nagar, North Bengaluru  | View All(5) Outlets","Cafe, Coffee",₹ 2000 for two approx.,40% Off + 25% Off
Muro India,4.5,"Museum Road, Ashok Nagar, Bengaluru","Thai, Cantonese",₹ 5000 for two approx.,25% Off :Payeazy
Kake Di Hatti,5.0,"Brigade Road, Central Bengaluru  | View All(9) Outlets",North Indian,₹ 2000 for two approx.,15% Off + 25% Off
Zodiac - The Fortune Palace,4.0,"Fortune Select JP Cosmos, Bengaluru",Multicuisine,₹ 1800 for two approx.,40% Off + 25% Off
SMOOR,4.4,"Lavelle Road, Central Bengaluru  | View All(9) Outlets",European,₹ 2000 for two approx.,10% Off + 25% Off
JW Kitchen,4.4,"JW Marriott, Bengaluru, Central Bengaluru",Multicuisine,₹ 2500 for two approx.,50% Off + 25% Off
Monsoon,3.8,"The Park, Bengaluru",Multicuisine,₹ 2000 for two approx.,30% Off + 25% Off
The Brew Factory - Brewery Pub & Kitchen,4.5,"Peenya, North Bengaluru",Multicuisine,₹ 2000 for two approx.,30% Off + 25% Off
Blah Bla (Indigo XP),3.9,"Koramangala, South Bengaluru",Multicuisine,₹ 2000 for two approx.,50% Off + 25% Off
Ging,4.3,"Royal Orchid Central, Bengaluru","oriental, Cocktail Menu",₹ 2500 for two approx.,25% Off + 25% Off
Maayaa,4.4,"The Courtyard by Sublime, Bengaluru",South Indian,₹ 2000 for two approx.,50% Off + 25% Off
Hatti Kaapi - Signature,5.0,"Lavelle Road, Central Bengaluru",Multicuisine,₹ 600 for two approx.,10% Off + 25% Off
Matsuri,4.6,"The Chancery Hotel, Bengaluru","Japanese, Sushi",₹ 2000 for two approx.,15% Off + 25% Off
"Anthara - Taproom, Cafe & Kitchen",5.0,"Doddanekkundi, Bengaluru","American, French",₹ 800 for two approx.,30% Off + 25% Off
No Limmits Lounge & Club,3.5,"Brigade Road, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,40% Off + 25% Off
Sharief Bhai Biryani,4.4,"Frazer Town, Central Bengaluru  | View All(26) Outlets",Hyderabadi,₹ 2000 for two approx.,15% Off + 25% Off
The Golden Circle Brewery,4.1,"Doddakannelli, Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
Sozo Skyline Dining,4.3,"Ashok Nagar, Bengaluru","Cocktail Menu, Pan Asian",₹ 2000 for two approx.,25% Off + 25% Off
Hard Rock Cafe,4.5,"St. Marks Road, Central Bengaluru  | View All(2) Outlets","Multicuisine, Burgers",₹ 2500 for two approx.,20% Off + 25% Off
Ta'aam,5.0,"Cunningham Road, Central Bengaluru","Arabian, North Indian",₹ 600 for two approx.,25% Off :Payeazy
The Kabab Studio,3.9,"Goldfinch Hotel, Seshadripuram",North Indian,₹ 2000 for two approx.,50% Off + 25% Off
Kling Brewery,4.4,"Church Street, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Be Luru Craft Kitchen & Bar,3.7,"Sankey Road, North Bengaluru","Indian, Asian",₹ 2000 for two approx.,50% Off + 25% Off
Sanchez & Sriracha,4.2,"UB City, Central Bengaluru  | View All(2) Outlets",Mexican,₹ 2000 for two approx.,10% Off + 25% Off
New Kudla Family Restaurant,4.0,"MG Road, Central Bengaluru","North Indian, Chinese",₹ 2000 for two approx.,50% Off + 25% Off
Monarch Cafe,4.0,"Infantry Road, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off :Payeazy
Cafe Adams,4.0,"Shivajinagar, Central Bengaluru",European,₹ 2000 for two approx.,25% Off :Payeazy
Ihmiets Momos,4.0,"Old Madras Road, East Bengaluru",Momos,₹ 2000 for two approx.,50% Off + 25% Off
CBD Central Bar District,5.0,"MSR Nagar, Bengaluru",Multicuisine,₹ 1200 for two approx.,20% Off + 25% Off
Zest,4.7,"Southern Star, Bengaluru",Multicuisine,₹ 2000 for two approx.,60 Discount + 25% Off
High Ultra Lounge,4.3,Sheraton Grand Bangalore at Brigade Gateway,Multicuisine,₹ 2000 for two approx.,50% Off + 25% Off
Don't Tell Mama,4.1,"HSR, South Bengaluru",Multicuisine,₹ 2000 for two approx.,50% Off + 25% Off
Dishkeyaun,4.1,"Forum Rex Walk, Brigade Road","Indian, Fusion, Asian",₹ 2000 for two approx.,30% Off + 25% Off
Foo Brigade Road,4.5,"Brigade Road, Central Bengaluru","Chinese, Pan Asian, Asian",₹ 2500 for two approx.,Cover Charge + 25% Off
Blanc The Coffee Place,5.0,"Gandhi Nagar, Central Bengaluru",European,₹ 1000 for two approx.,30% Off + 25% Off
Gatsby,4.4,"Bannerghatta Road, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
Smoke House Deli,4.4,"Lavelle Road, Central Bengaluru  | View All(2) Outlets",European,₹ 2000 for two approx.,20% Off + 25% Off
The Market,4.5,"The Ritz-Carlton, Bengaluru","All Day Dining, Multicuisine",₹ 4000 for two approx.,30% Off + 25% Off
Vapour Brewpub & Diner,4.4,"Sarjapur Road, South Bengaluru",Multicuisine,₹ 2000 for two approx.,50% Off + 25% Off
Caraway Kitchen,4.4,Conrad Bengaluru,Multicuisine,₹ 2800 for two approx.,15% Off + 25% Off
"Salt - Pan Indian Restaurant, Bar & Grill",4.3,"UB City, Central Bengaluru  | View All(7) Outlets","Indian, Cocktail Menu",₹ 2000 for two approx.,10% Off + 25% Off
The Big Barbeque,3.9,"Marathahalli, East Bengaluru  | View All(3) Outlets","Barbeque, Multicuisine",₹ 2000 for two approx.,1+1 Buffet + 25% Off
Barbecue by Punjab Grill,4.0,"Mantri Square, Malleshwaram","Beverages, Finger Food, Biryani",₹ 2000 for two approx.,30% Off + 25% Off
Pinxx,4.2,"Royal Orchid Central, Bengaluru",Multicuisine,₹ 2400 for two approx.,25% Off + 25% Off
Church Street Social,4.2,"Church Street, Central Bengaluru  | View All(11) Outlets",Multicuisine,₹ 2000 for two approx.,20% Off + 25% Off
LIT Gastropub,3.9,"Church Street, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,20% Off + 25% Off
Coffee Brew Hub,4.0,"Residency Road, Central Bengaluru",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Alchemy,4.5,"The Chancery Pavilion, Bengaluru","Indian, Fusion",₹ 2500 for two approx.,20% Off + 25% Off
Alba,4.1,"JW Marriott, Bengaluru, Central Bengaluru",Italian,₹ 3500 for two approx.,20% Off + 25% Off
Street Storyss,5.0,"Brigade Road, Central Bengaluru  | View All(3) Outlets",Multicuisine,₹ 1500 for two approx.,10% Off + 25% Off
SodaBottleOpenerWala,4.4,"Lavelle Road, Central Bengaluru",Parsi,₹ 2000 for two approx.,15% Off + 25% Off
The Rice Bowl,4.3,"Southern Star, Bengaluru","Chinese, Asian",₹ 1500 for two approx.,10% Off + 25% Off
Gufha Restaurant,4.6,"Guttahalli, North Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Indian Durbar,4.4,Conrad Bengaluru,"Indian, North Indian",₹ 3000 for two approx.,15% Off + 25% Off
Zodiac,4.2,"Fortune Select JP Cosmos, Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
Easy Tiger,4.2,"Church Street, Central Bengaluru","Cocktail Menu, American",₹ 2000 for two approx.,20% Off + 25% Off
Sana-Di-Ge,4.4,"Goldfinch Hotel, Seshadripuram","Biryani, Seafood, Regional Indian",₹ 2000 for two approx.,30% Off + 25% Off
Scottish Pub,4.9,"St. Marks Road, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,20% Off + 25% Off
Wow! China,4.0,"Church Street, Central Bengaluru  | View All(10) Outlets",Chinese,₹ 2000 for two approx.,30% Off + 25% Off
KA 01 - Rooftop Bar & Eats,4.4,"Ibis Hotel, Richmond Road","Indian, Cocktail Menu",₹ 2000 for two approx.,50% Off + 25% Off
Kenzai - Asian Kitchen And Lounge,4.6,"Brigade Road, Central Bengaluru",Asian,₹ 2000 for two approx.,25% Off + 25% Off
Cahoots Classic Bar House,5.0,"Brigade Road, Central Bengaluru",Multicuisine,₹ 4000 for two approx.,10% Off + 25% Off
i-Bar,3.8,"The Park, Bengaluru",Cocktail Menu,₹ 2000 for two approx.,30% Off + 25% Off
Sea Rock Family Restaurant & Bar,4.7,"Seshadripuram, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Badmaash UB City,4.3,"UB City, Central Bengaluru  | View All(4) Outlets",Indian,₹ 2000 for two approx.,25% Off + 25% Off
